iter	Passed	Remaining
0	47	9526
1	49	4930
2	51	3379
3	53	2603
4	55	2158
5	56	1833
6	58	1599
7	59	1424
8	60	1291
9	62	1181
10	63	1094
11	65	1019
12	66	958
13	67	894
14	68	840
15	68	791
16	69	749
17	70	711
18	71	678
19	72	648
20	72	620
21	73	595
22	74	571
23	75	550
24	75	530
25	76	511
26	77	494
27	77	478
28	78	463
29	79	449
30	79	435
31	80	423
32	81	411
33	83	405
34	83	395
35	84	385
36	85	375
37	85	366
38	86	357
39	87	349
40	88	341
41	88	333
42	89	326
43	90	319
44	90	312
45	91	305
46	91	299
47	92	292
48	93	286
49	93	281
50	94	275
51	95	270
52	95	265
53	96	260
54	96	255
55	97	250
56	97	245
57	98	241
58	99	236
59	99	232
60	99	227
61	100	223
62	100	219
63	101	215
64	101	211
65	102	208
66	102	204
67	103	200
68	103	197
69	104	193
70	104	190
71	105	187
72	105	183
73	106	180
74	106	177
75	106	174
76	107	171
77	107	168
78	108	165
79	108	162
80	109	160
81	109	157
82	109	154
83	110	152
84	110	149
85	110	146
86	111	144
87	111	141
88	111	139
89	112	136
90	112	134
91	112	132
92	112	130
93	113	127
94	113	125
95	113	123
96	114	121
97	114	119
98	114	117
99	115	115
100	115	113
101	115	111
102	116	109
103	116	107
104	116	105
105	117	103
106	117	102
107	117	100
108	117	98
109	118	96
110	118	94
111	118	93
112	118	91
113	119	89
114	119	88
115	119	86
116	119	85
117	120	83
118	120	81
119	120	80
120	120	78
121	121	77
122	121	76
123	121	74
124	121	73
125	122	71
126	122	70
127	122	69
128	122	67
129	123	66
130	123	65
131	123	63
132	123	62
133	124	61
134	124	59
135	124	58
136	124	57
137	125	56
138	125	55
139	125	53
140	125	52
141	126	51
142	126	50
143	126	49
144	126	48
145	127	47
146	127	45
147	127	44
148	127	43
149	128	42
150	128	41
151	128	40
152	128	39
153	129	38
154	129	37
155	129	36
156	129	35
157	130	34
158	130	33
159	130	32
160	130	31
161	131	30
162	131	29
163	131	28
164	131	27
165	132	27
166	132	26
167	132	25
168	132	24
169	133	23
170	133	22
171	133	21
172	133	20
173	134	20
174	134	19
175	134	18
176	134	17
177	135	16
178	135	15
179	135	15
180	135	14
181	136	13
182	136	12
183	136	11
184	136	11
185	137	10
186	137	9
187	137	8
188	137	8
189	138	7
190	138	6
191	138	5
192	138	5
193	139	4
194	139	3
195	139	2
196	139	2
197	140	1
198	140	0
199	140	0
