iter	Passed	Remaining
0	47	47574
1	48	24352
2	49	16530
3	50	12624
4	51	10280
5	52	8732
6	53	7608
7	54	6771
8	55	6121
9	56	5600
10	57	5169
11	58	4813
12	59	4528
13	61	4327
14	63	4150
15	64	3947
16	65	3762
17	65	3598
18	66	3450
19	67	3315
20	68	3192
21	70	3112
22	70	3010
23	71	2918
24	72	2835
25	73	2755
26	74	2682
27	75	2614
28	76	2548
29	76	2488
30	77	2431
31	78	2382
32	79	2331
33	80	2283
34	81	2237
35	81	2195
36	82	2154
37	83	2118
38	84	2082
39	85	2048
40	86	2017
41	87	1986
42	87	1958
43	88	1929
44	89	1900
45	90	1872
46	91	1846
47	91	1821
48	92	1797
49	93	1777
50	95	1775
51	96	1754
52	96	1732
53	97	1711
54	98	1692
55	99	1673
56	100	1664
57	101	1647
58	102	1631
59	103	1614
60	103	1599
61	104	1583
62	105	1568
63	106	1554
64	107	1540
65	107	1527
66	108	1514
67	109	1501
68	110	1488
69	111	1476
70	111	1464
71	112	1453
72	113	1441
73	114	1429
74	115	1418
75	115	1407
76	116	1397
77	117	1387
78	118	1378
79	118	1368
80	119	1359
81	120	1349
82	120	1336
83	121	1327
84	122	1318
85	123	1309
86	123	1301
87	125	1302
88	126	1297
89	128	1301
90	129	1293
91	130	1285
92	131	1278
93	131	1271
94	132	1263
95	133	1255
96	134	1248
97	134	1240
98	135	1233
99	136	1226
100	136	1219
101	137	1212
102	138	1206
103	139	1200
104	140	1193
105	140	1187
106	141	1181
107	142	1174
108	142	1168
109	143	1162
110	144	1156
111	145	1150
112	145	1144
113	146	1138
114	147	1132
115	147	1126
116	148	1119
117	149	1114
118	149	1108
119	150	1103
120	151	1098
121	151	1091
122	152	1086
123	153	1081
124	153	1076
125	154	1072
126	155	1066
127	155	1061
128	156	1056
129	157	1052
130	157	1047
131	158	1042
132	159	1038
133	159	1033
134	160	1029
135	161	1025
136	162	1021
137	162	1016
138	163	1012
139	164	1008
140	164	1004
141	165	998
142	165	994
143	166	990
144	167	987
145	168	983
146	168	979
147	169	975
148	170	971
149	170	968
150	171	964
151	172	961
152	172	957
153	173	953
154	174	950
155	175	946
156	175	943
157	176	940
158	177	936
159	177	933
160	178	928
161	178	925
162	179	922
163	180	919
164	181	916
165	181	913
166	182	909
167	183	906
168	183	903
169	184	900
170	185	897
171	185	894
172	186	891
173	187	889
174	187	886
175	188	883
176	189	880
177	190	877
178	190	875
179	191	872
180	192	869
181	192	867
182	193	864
183	194	861
184	194	858
185	195	856
186	196	853
187	197	851
188	197	848
189	198	846
190	199	844
191	200	842
192	200	840
193	201	837
194	202	835
195	203	832
196	203	830
197	204	828
198	205	826
199	205	823
200	206	821
201	207	819
202	208	817
203	208	815
204	209	813
205	210	810
206	211	808
207	211	806
208	212	803
209	213	801
210	213	799
211	214	797
212	215	795
213	216	793
214	216	791
215	217	789
216	218	787
217	219	785
218	219	783
219	220	781
220	221	779
221	221	777
222	222	775
223	223	773
224	224	771
225	224	770
226	225	768
227	226	766
228	227	764
229	227	762
230	228	760
231	229	758
232	229	757
233	230	755
234	231	753
235	232	751
236	232	749
237	233	747
238	234	745
239	234	744
240	235	742
241	236	740
242	237	738
243	237	737
244	238	735
245	239	733
246	240	731
247	240	730
248	241	729
249	242	727
250	243	725
251	243	724
252	244	722
253	245	720
254	246	718
255	246	717
256	247	715
257	248	714
258	249	712
259	249	711
260	250	709
261	251	707
262	252	706
263	252	704
264	253	703
265	254	701
266	255	700
267	255	698
268	256	697
269	257	695
270	257	693
271	258	692
272	259	690
273	260	689
274	261	688
275	261	686
276	262	685
277	263	683
278	264	682
279	264	681
280	265	679
281	266	678
282	267	676
283	267	675
284	268	673
285	269	672
286	270	670
287	270	669
288	271	668
289	272	667
290	273	665
291	273	664
292	274	662
293	275	661
294	276	660
295	277	659
296	278	658
297	278	656
298	279	655
299	280	654
300	281	652
301	281	651
302	282	649
303	283	648
304	284	647
305	284	645
306	285	644
